"","섹터","종목코드","종목명"
"428","산업재","095570","AJ네트웍스"
"429","산업재","007610","선도전기"
"430","산업재","147830","제룡산업"
"431","산업재","060560","홈센타홀딩스"
"432","산업재","011700","한신기계"
"433","산업재","051490","나라엠앤디"
"434","산업재","103230","에스앤더블류"
"435","산업재","003280","흥아해운"
"436","산업재","022220","정산애강"
"437","산업재","009160","SIMPAC"
"438","산업재","090850","이지웰페어"
"439","산업재","094820","일진파워"
"440","산업재","096350","대창솔루션"
"441","산업재","071670","에이테크솔루션"
"442","산업재","021320","KCC건설"
"443","산업재","005430","한국공항"
"444","산업재","075580","세진중공업"
"445","산업재","000320","노루홀딩스"
"446","산업재","015230","대창단조"
"447","산업재","005960","동부건설"
"448","산업재","004440","대림씨엔에스"
"449","산업재","011090","에넥스"
"450","산업재","042370","비츠로테크"
"451","산업재","000850","화천기공"
"452","산업재","011560","세보엠이씨"
"453","산업재","105740","디케이락"
"454","산업재","171120","라이온켐텍"
"455","산업재","119850","지엔씨에너지"
"456","산업재","103590","일진전기"
"457","산업재","066620","국보디자인"
"458","산업재","006050","국영지앤엠"
"459","산업재","001260","남광토건"
"460","산업재","041440","에버다임"
"461","산업재","067900","와이엔텍"
"462","산업재","003100","선광"
"463","산업재","009440","KC그린홀딩스"
"464","산업재","003010","혜인"
"465","산업재","221840","하이즈항공"
"466","산업재","024840","갑을메탈"
"467","산업재","105840","우진"
"468","산업재","033430","디에스티"
"469","산업재","037440","희림"
"470","산업재","108380","대양전기공업"
"471","산업재","003070","코오롱글로벌"
"472","산업재","006920","모헨즈"
"473","산업재","046940","우원개발"
"474","산업재","049430","코메론"
"475","산업재","000500","가온전선"
"476","산업재","228340","동양파일"
"477","산업재","060370","KT서브마린"
"478","산업재","017550","수산중공업"
"479","산업재","005750","대림B&Co"
"480","산업재","225530","보광산업"
"481","산업재","010240","흥국"
"482","산업재","004910","조광페인트"
"483","산업재","033540","파라텍"
"484","산업재","044180","KD건설"
"485","산업재","090410","덕신하우징"
"486","산업재","054540","삼영엠텍"
"487","산업재","015590","큐로"
"488","산업재","065450","빅텍"
"489","산업재","028040","미래SCI"
"490","산업재","053590","한국테크놀로지"
"491","산업재","017000","신원종합개발"
"492","산업재","119650","KC코트렐"
"493","산업재","094280","효성ITX"
"494","산업재","011810","STX"
"495","산업재","003480","한진중공업홀딩스"
"496","산업재","060260","뉴보텍"
"497","산업재","013810","스페코"
"498","산업재","148140","비디아이"
"499","산업재","003800","에이스침대"
"500","산업재","133820","화인베스틸"
"501","산업재","024880","케이피에프"
"502","산업재","100840","S&TC"
"503","산업재","054220","비츠로시스"
"504","산업재","004200","고려개발"
"505","산업재","064820","케이프"
"506","산업재","083650","비에이치아이"
"507","산업재","092460","한라IMS"
"508","산업재","010400","우진아이엔에스"
"509","산업재","100660","서암기계공업"
"510","산업재","049800","우진플라임"
"511","산업재","004140","동방"
"512","산업재","071950","코아스"
"513","산업재","084670","동양고속"
"514","산업재","008470","부스타"
"515","산업재","023350","한국종합기술"
"516","산업재","119500","포메탈"
"517","산업재","013360","일성건설"
"518","산업재","101930","인화정공"
"519","산업재","092440","기신정기"
"520","산업재","237750","피앤씨테크"
"521","산업재","000910","유니온"
"522","산업재","039020","이건홀딩스"
"523","산업재","019990","에너토크"
"524","산업재","038390","레드캡투어"
"525","산업재","050860","아세아텍"
"526","산업재","086670","비엠티"
"527","산업재","163560","동일고무벨트"
"528","산업재","011160","두산건설"
"529","산업재","009180","한솔로지스틱스"
"530","산업재","109860","동일금속"
"531","산업재","014130","한익스프레스"
"532","산업재","013700","까뮤이앤씨"
"533","산업재","002290","삼일기업공사"
"534","산업재","054930","유신"
