"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"256",2018-12-28,"036810","에프에스티","-",3795,"624","6.08","4,088","0.93",80,2.11,256,NA
"257",2018-12-28,"036830","솔브레인","-",47550,"2,532","18.78","37,072","1.28",700,1.47,257,NA
"258",2018-12-28,"036890","진성티이씨","-",7500,"535","14.02","4,581","1.64",180,2.4,258,NA
"259",2018-12-28,"036930","주성엔지니어링","-",6450,"871","7.41","3,905","1.65",100,1.55,259,NA
"260",2018-12-28,"037030","파워넷","-",3410,"672","5.07","3,136","1.09",0,0,260,NA
"261",2018-12-28,"037070","파세코","-",4620,"263","17.57","4,868","0.95",210,4.55,261,NA
"262",2018-12-28,"037230","한국팩키지","-",1855,"114","16.27","1,669","1.11",30,1.62,262,NA
"263",2018-12-28,"037330","인지디스플레","-",1655,"57","29.04","3,926","0.42",75,4.53,263,NA
"264",2018-12-28,"037350","성도이엔지","-",4940,"1,480","3.34","12,003","0.41",150,3.04,264,NA
"265",2018-12-28,"037370","EG","-",11400,"-","-","6,764","1.69",50,0.44,265,NA
"266",2018-12-28,"037400","우리조명","-",1020,"-","-","3,234","0.32",0,0,266,NA
"267",2018-12-28,"037440","희림","-",4625,"288","16.06","3,705","1.25",100,2.16,267,NA
"268",2018-12-28,"037460","삼지전자","-",9880,"1,749","5.65","10,094","0.98",120,1.21,268,NA
"269",2018-12-28,"037760","쎄니트","-",2020,"182","11.1","2,007","1.01",30,1.49,269,NA
"270",2018-12-28,"037950","엘컴텍","-",1845,"70","26.36","901","2.05",40,2.17,270,NA
"271",2018-12-28,"038010","제일테크노스","-",3830,"411","9.32","7,834","0.49",80,2.09,271,NA
"272",2018-12-28,"038060","루멘스","-",2870,"69","41.59","4,442","0.65",0,0,272,NA
"273",2018-12-28,"038070","서린바이오","-",10350,"290","35.69","7,149","1.45",100,0.97,273,NA
"274",2018-12-28,"038110","에코플라스틱","-",1295,"-","-","5,403","0.24",0,0,274,NA
"275",2018-12-28,"038160","팍스넷","-",7320,"169","43.31","3,996","1.83",0,0,275,NA
