"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","market"
"2116","060310","3S","2,305","5","-0.22%","500","1,023","44,396",2.15,"37,028","-67.79","-4.78","코스닥"
"2117","221840","하이즈항공","5,780","20","-0.34%","500","1,023","17,696",0.5,"21,719","156.22","N/A","코스닥"
"2118","080000","에스엔유","2,975","10","+0.34%","500","1,021","34,323",2.45,"52,956","16.17","6.22","코스닥"
"2120","104200","NHN벅스","6,870","40","+0.59%","500","1,019","14,828",1.18,"30,926","-21.47","-7.28","코스닥"
"2121","067900","와이엔텍","5,590","90","+1.64%","500","1,017","18,200",3.42,"198,872","8.84","11.30","코스닥"
"2122","083930","아바코","6,350","20","+0.32%","500","1,016","15,997",5,"32,947","-119.81","-0.82","코스닥"
"2123","250060","모비스","3,150","45","+1.45%","100","1,013","32,171",1.97,"252,694","-32.14","-23.52","코스닥"
"2124","042510","라온시큐어","3,185","95","-2.90%","500","1,013","31,810",1.48,"4,766,460","30.05","23.82","코스닥"
"2125","072470","우리산업홀딩스","5,350","20","+0.38%","500","1,010","18,887",0.92,"15,383","42.13","1.83","코스닥"
"2126","193250","와이제이엠게임즈","2,205","10","+0.46%","100","1,006","45,637",1.44,"287,268","-10.07","-12.03","코스닥"
"2127","041520","이라이콤","8,250","40","-0.48%","500","1,006","12,189",7.95,"92,537","-6.42","-7.24","코스닥"
"2128","088130","동아엘텍","9,210","20","-0.22%","500","1,005","10,913",7.27,"119,112","8.89","8.88","코스닥"
"2129","026040","제이에스티나","6,080","120","-1.94%","500","1,003","16,504",3.54,"203,677","-27.64","-4.79","코스닥"
"2130","027040","서울전자통신","1,435","45","+3.24%","500","999","69,589",0.57,"448,821","-57.40","-4.23","코스닥"
"2131","103230","에스앤더블류","13,850","50","+0.36%","500","997","7,200",0.35,"45,475","-23.80","-7.71","코스닥"
"2132","194480","데브시스터즈","8,900","30","-0.34%","500","997","11,204",0.54,"6,852","-6.26","-11.07","코스닥"
"2134","033320","제이씨현시스템","5,190","20","+0.39%","500","992","19,114",3.02,"47,164","7.80","17.73","코스닥"
"2135","031510","오스템","3,810","10","+0.26%","500","991","26,000",2.14,"401,486","190.50","0.41","코스닥"
"2136","037370","EG","13,150","450","+3.54%","1,000","986","7,500",3.46,"157,264","-156.55","-1.23","코스닥"
"2137","019660","글로본","3,455","65","-1.85%","500","985","28,523",0,"47,050","-11.22","N/A","코스닥"
"2138","088910","동우팜투테이블","3,815","45","-1.17%","500","985","25,832",4.5,"45,400","5.25","11.10","코스닥"
"2139","127160","매직마이크로","1,675","10","+0.60%","100","985","58,823",6.34,"1,302,176","-11.80","-13.16","코스닥"
"2140","211270","AP위성","6,560","40","-0.61%","500","985","15,015",3.31,"4,920","1,640.00","0.08","코스닥"
"2141","064510","에코마이스터","7,760","250","-3.12%","500","982","12,659",1.85,"275,969","-28.42","-6.03","코스닥"
"2142","017510","세명전기","6,430","190","-2.87%","500","980","15,246",4.17,"140,826","26.68","5.68","코스닥"
"2143","238490","힘스","17,300","1,350","+8.46%","500","978","5,656",2.23,"234,051","6.63","32.53","코스닥"
"2144","006580","대양제지","3,640","45","+1.25%","500","977","26,850",1.31,"53,462","-455.00","-0.26","코스닥"
"2145","093920","서원인텍","5,250","10","-0.19%","500","976","18,600",6.13,"18,890","32.01","1.92","코스닥"
"2147","019010","그랜드백화점","20,200","0","0.00%","5,000","974","4,820",0.45,"5,925","-54.01","-0.86","코스닥"
"2148","122310","제노레이","23,250","500","+2.20%","500","971","4,177",2.52,"57,066","16.77","26.45","코스닥"
"2149","246710","티앤알바이오팹","11,900","200","+1.71%","500","971","8,157",0.26,"247,890","-18.25","-45.29","코스닥"
"2150","192250","케이사인","1,495","60","+4.18%","100","967","64,671",1.56,"11,410,242","-21.36","-8.82","코스닥"
"2151","014190","원익큐브","2,725","50","+1.87%","500","965","35,400",1.57,"268,045","50.46","2.25","코스닥"
"2152","204630","화이브라더스코리아","3,370","0","0.00%","100","964","28,613",28.78,"105,265","-40.60","-5.29","코스닥"
"2153","101160","월덱스","5,830","60","-1.02%","500","963","16,511",3.05,"76,098","13.69","13.94","코스닥"
"2154","039340","한국경제TV","4,185","30","-0.71%","500","963","23,000",0.99,"43,400","7.87","13.77","코스닥"
"2155","038870","에코바이오","8,320","330","+4.13%","500","962","11,567",1.2,"272,225","-4.09","-36.15","코스닥"
"2156","054620","APS홀딩스","4,710","40","-0.84%","500","961","20,394",10.45,"21,301","0.11","348.19","코스닥"
"2157","263690","디알젬","8,470","30","+0.36%","500","959","11,326",0.23,"843,379","20.51","31.70","코스닥"
"2158","041930","동아화성","6,070","230","+3.94%","500","959","15,800",0.29,"2,202,617","10.54","9.76","코스닥"
"2159","095500","미래나노텍","4,115","15","+0.37%","500","958","23,290",4.77,"45,172","9.66","7.07","코스닥"
"2160","066110","한프","2,105","10","-0.47%","500","957","45,444",1.05,"179,848","-4.76","-28.52","코스닥"
"2161","096350","대창솔루션","881","9","-1.01%","100","955","108,455",0.98,"247,010","-5.87","-19.80","코스닥"
"2162","290550","디케이티","11,600","100","-0.85%","500","955","8,231",0.13,"48,881","5.23","125.16","코스닥"
"2163","038460","바이오스마트","4,765","45","-0.94%","500","952","19,979",2.96,"62,167","17.26","7.79","코스닥"
"2164","120240","대정화금","13,400","50","-0.37%","500","951","7,100",2.24,"40,175","11.08","7.95","코스닥"
"2165","033560","블루콤","5,260","80","+1.54%","500","951","18,088",6.9,"398,011","32.07","1.86","코스닥"
