"","US","EUROPE","JAPAN","EM","LONG_BOND","INT_BOND","US.REIT","GLOBAL.REIT","GOLD","COMMODITY"
"1993-05-25",0.002087916,0.010869565,0.019577861,0.002964833,0,0,0,0,-0.00461437,0.003515462
"1993-05-26",0.012490582,0.002150538,0.02074139,0.002312173,0.004545455,0.003257329,0.002770083,0,-0.00794702,-0.004047165
"1993-05-27",-0.003428584,0.004291845,0.008427499,-0.001722829,0.004524887,0,0,0,0.000667557,-0.001055215
"1993-05-28",-0.004812244,0.010683761,0.003496628,0.005206658,0,0,0.005524862,0,0.007204803,-0.003425821
"1993-05-29",0,0,0,0,0,0,0,0,0,0
"1993-05-30",0,0,0,0,0,0,0,0,0,0
"1993-05-31",0,0,-0.015174463,0.005063291,0,0,0,0.065056477,-0.007153265,0
"1993-06-01",0.009674617,-0.002114165,0.001713449,0.002837372,0.009009009,0.003246753,0,0,0.006937959,0.001122311
"1993-06-02",-0.001368845,-0.004237288,0.003933094,0.008661258,0,0.006472492,-0.002747253,0,-0.022127998,-0.004401171
"1993-06-03",-0.003428584,-0.00212766,0.018572674,-0.001803246,0,0,-0.002754821,0,0.015447154,-0.006751882
"1993-06-04",-0.003436807,-0.010660981,-0.014616707,-0.001691805,-0.004464286,-0.003215434,-0.002762431,0,0.007739525,0.004081187
"1993-06-05",0,0,0,0,0,0,0,0,0,0
"1993-06-06",0,0,0,0,0,0,0,0,0,0
"1993-06-07",-0.003452244,0,0.003297205,-0.00344679,0.004484305,0,0,0,-0.012711864,-0.003006632
"1993-06-08",-0.009004051,0,-0.003705416,0.006081568,-0.004464286,0,-0.002770083,0,0.006571888,-0.000889191
"1993-06-09",0.003495678,0.006465517,0,0.001260528,0.004484305,0,0.002777778,0,-0.010126582,-0.000155327
"1993-06-10",0.00069453,-0.004282655,-0.00210308,-0.00037196,0,0,0,0,-0.001749899,-0.009770332
"1993-06-11",0.004178746,0.012903226,-0.000852506,0.007585082,0.008928571,0.006451613,0.002770083,0,-0.001213592,-0.005499421
"1993-06-12",0,0,0,0,0,0,0,0,0,0
"1993-06-13",0,0,0,0,0,0,0,0,0,0
"1993-06-14",-0.001385919,0.002123142,0.005266232,0.004346344,0,0,0,0,-0.019846092,-0.002946117
