"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2129","241820","피씨엘",46200,-850,-1.81,2030,22.76,3646,12.67,0,0
"2130","237750","피앤씨테크",7420,-70,-0.93,335,22.15,9551,0.78,0,0
"2131","024850","피에스엠씨",1435,-5,-0.35,NA,NA,325,4.42,0,0
"2132","319660","피에스케이",39350,-50,-0.13,1570,25.06,14723,2.67,300,0.76
"2133","031980","피에스케이홀딩스",10950,-50,-0.45,3075,3.56,9160,1.2,200,1.83
"2134","002230","피에스텍",4845,30,0.62,25,193.8,6922,0.7,75,1.55
"2135","057880","피에이치씨",1105,-45,-3.91,128,8.63,892,1.24,0,0
"2136","043370","피에이치에이",12000,300,2.56,382,31.41,27896,0.43,180,1.5
"2137","239890","피엔에이치테크",36600,-150,-0.41,NA,NA,1538,23.8,0,0
"2138","347740","피엔케이피부임상연구센타",20600,-150,-0.72,1040,19.81,7414,2.78,0,0
"2139","137400","피엔티",34000,0,0,1717,19.8,5917,5.75,100,0.29
"2140","128660","피제이메탈",5200,-170,-3.17,191,27.23,1719,3.03,120,2.31
"2141","006140","피제이전자",8880,-190,-2.09,331,26.83,7305,1.22,100,1.13
"2142","376180","피코그램",18600,-6400,-25.6,1048,17.75,5541,3.36,191,1.03
"2143","304840","피플바이오",17700,-250,-1.39,NA,NA,786,22.52,0,0
"2144","062970","피피아이",3830,-120,-3.04,NA,NA,1887,2.03,0,0
"2145","087600","픽셀플러스",8300,-280,-3.26,617,13.45,9849,0.84,0,0
"2146","161580","필옵틱스",10400,-50,-0.48,225,46.22,4350,2.39,50,0.48
"2147","347770","핌스",21650,-600,-2.7,789,27.44,6573,3.29,0,0
"2148","163730","핑거",17950,-350,-1.91,434,41.36,2201,8.16,0,0
"2149","332710","하나금융14호스팩",2145,10,0.47,NA,NA,NA,NA,0,0
"2150","341160","하나금융15호스팩",2140,-20,-0.93,NA,NA,NA,NA,0,0
"2151","343510","하나금융16호스팩",2135,-15,-0.7,NA,NA,NA,NA,0,0
"2152","363260","하나금융17호스팩",2810,0,0,NA,NA,NA,NA,0,0
"2153","388220","하나금융19호스팩",2105,-15,-0.71,NA,NA,NA,NA,0,0
"2154","086790","하나금융지주",44200,-1100,-2.43,8858,4.99,102296,0.43,1850,4.19
"2155","299030","하나기술",52300,-600,-1.13,NA,NA,7360,7.11,0,0
"2156","067310","하나마이크론",22850,600,2.7,NA,NA,4497,5.08,0,0
"2157","372290","하나머스트7호스팩",2205,-25,-1.12,NA,NA,NA,NA,0,0
"2158","166090","하나머티리얼즈",50000,50,0.1,1960,25.51,9582,5.22,300,0.6
"2159","293480","하나제약",20500,-150,-0.73,864,23.73,13083,1.57,510,2.49
"2160","039130","하나투어",79100,-4600,-5.5,NA,NA,9688,8.16,0,0
"2161","136480","하림",2820,-50,-1.74,79,35.7,2676,1.05,0,0
"2162","003380","하림지주",9140,-250,-2.66,725,12.61,18343,0.5,50,0.55
"2163","149980","하이로닉",7230,360,5.24,259,27.92,2951,2.45,49,0.68
"2164","013030","하이록코리아",18500,-750,-3.9,390,47.44,24224,0.76,500,2.7
"2165","352820","하이브",346500,-1500,-0.43,2956,117.22,33218,10.43,0,0
"2166","126700","하이비젼시스템",17050,200,1.19,759,22.46,8866,1.92,50,0.29
"2167","106080","하이소닉",3110,0,0,NA,NA,344,9.04,0,0
"2168","071090","하이스틸",3285,-65,-1.94,NA,NA,6302,0.52,10,0.3
"2169","340120","하이제5호스팩",2140,35,1.66,NA,NA,NA,NA,0,0
"2170","377400","하이제6호스팩",2130,0,0,NA,NA,NA,NA,0,0
"2171","221840","하이즈항공",5200,-200,-3.7,NA,NA,4236,1.23,0,0
"2172","106190","하이텍팜",15850,-250,-1.55,NA,NA,13422,1.18,50,0.32
"2173","019490","하이트론",3550,-90,-2.47,NA,NA,2286,1.55,0,0
"2174","000080","하이트진로",34050,-1000,-2.85,1246,27.33,15067,2.26,750,2.2
"2175","000087","하이트진로2우B",20700,-350,-1.66,NA,NA,NA,NA,800,3.86
"2176","000140","하이트진로홀딩스",14800,-250,-1.66,3014,4.91,20817,0.71,400,2.7
"2177","000145","하이트진로홀딩스우",17400,-150,-0.85,NA,NA,NA,NA,450,2.59
"2178","066130","하츠",9640,70,0.73,493,19.55,6846,1.41,80,0.83
"2179","368770","한국9호스팩",2460,0,0,NA,NA,NA,NA,0,0
"2180","004590","한국가구",6630,10,0.15,617,10.75,7783,0.85,135,2.04
"2181","036460","한국가스공사",43550,-750,-1.69,NA,NA,81040,0.54,0,0
"2182","039340","한국경제TV",7270,0,0,860,8.45,6009,1.21,130,1.79
"2183","005430","한국공항",46200,-1400,-2.94,NA,NA,86072,0.54,0,0
"2184","071050","한국금융지주",87400,100,0.11,14780,5.91,91124,0.96,3000,3.43
"2185","071055","한국금융지주우",68400,400,0.59,NA,NA,NA,NA,3062,4.48
"2186","034950","한국기업평가",82300,100,0.12,4474,18.4,20617,3.99,2907,3.53
"2187","010040","한국내화",4010,-40,-0.99,66,60.76,6306,0.64,35,0.87
"2188","025540","한국단자",74600,-1800,-2.36,5585,13.36,73375,1.02,700,0.94
"2189","222980","한국맥널티",7150,-160,-2.19,454,15.75,3308,2.16,50,0.7
"2190","318000","한국바이오젠",8750,-100,-1.13,387,22.61,3451,2.54,75,0.86
"2191","256840","한국비엔씨",27250,-500,-1.8,29,939.66,718,37.95,0,0
"2192","004090","한국석유",12750,-50,-0.39,546,23.35,11418,1.12,83,0.65
"2193","025550","한국선재",7670,-540,-6.58,78,98.33,3619,2.12,0,0
"2194","002200","한국수출포장",25850,-50,-0.19,2090,12.37,63143,0.41,600,2.32
"2195","002960","한국쉘석유",280000,1500,0.54,16162,17.32,75474,3.71,14000,5
"2196","017890","한국알콜",13650,-250,-1.8,2478,5.51,17265,0.79,100,0.73
