"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"312","018500","동원금속","KOSPI","운수장비",985,-15,-1.5,46053609005
"313","006040","동원산업","KOSPI","농업, 임업 및 어업",228500,1500,0.66,840340968500
"314","030720","동원수산","KOSPI","농업, 임업 및 어업",9830,-30,-0.3,45746903150
"315","014820","동원시스템즈","KOSPI","화학",52200,-500,-0.95,1523635054200
"316","014825","동원시스템즈우","KOSPI","화학",33000,-200,-0.6,8756814000
"317","163560","동일고무벨트","KOSPI","화학",8310,-90,-1.07,1.15509e+11
"318","004890","동일산업","KOSPI","철강금속",140500,0,0,340742707500
"319","002690","동일제강","KOSPI","철강금속",3395,55,1.65,5.0925e+10
"320","000020","동화약품","KOSPI","의약품",15400,-250,-1.6,430144638000
"321","000150","두산","KOSPI","서비스업",110000,3000,2.8,1817621850000
"322","000157","두산2우B","KOSPI","서비스업",128000,-1500,-1.16,114308864000
"323","241560","두산밥캣","KOSPI","기계",39600,-1800,-4.35,3969866973600
"324","000155","두산우","KOSPI","서비스업",75200,0,0,300533942400
"325","034020","두산중공업","KOSPI","기계",24600,-500,-1.99,12760157366400
"326","336260","두산퓨얼셀","KOSPI","전기전자",54600,500,0.92,3575957439600
"327","33626K","두산퓨얼셀1우","KOSPI","전기전자",15850,-50,-0.31,211822570000
"328","33626L","두산퓨얼셀2우B","KOSPI","전기전자",19700,-100,-0.51,58830110000
"329","016740","두올","KOSPI","운수장비",4480,-60,-1.32,148138726400
"330","192650","드림텍","KOSPI","전기전자",10050,-200,-1.95,656699873550
"331","024090","디씨엠","KOSPI","철강금속",23400,850,3.77,2.7378e+11
"332","003160","디아이","KOSPI","의료정밀",8450,-40,-0.47,266147833250
"333","092200","디아이씨","KOSPI","운수장비",5210,-300,-5.44,202609444490
"334","377190","디앤디플랫폼리츠","KOSPI","서비스업",5400,-10,-0.18,3.4776e+11
"335","013570","디와이","KOSPI","기타금융",5300,-90,-1.67,139494054900
"336","210540","디와이파워","KOSPI","기계",13150,100,0.77,145198460200
"337","007340","디티알오토모티브","KOSPI","전기전자",60000,100,0.17,599640300000
"338","026890","디피씨","KOSPI","전기전자",15600,100,0.65,650179530000
"339","115390","락앤락","KOSPI","화학",10300,-100,-0.96,545978671400
"340","032350","롯데관광개발","KOSPI","서비스업",19500,-450,-2.26,1350875409000
"341","089860","롯데렌탈","KOSPI","서비스업",40250,800,2.03,1474521035750
"342","330590","롯데리츠","KOSPI","서비스업",5650,-40,-0.7,1372774194600
"343","000400","롯데손해보험","KOSPI","보험",1865,35,1.91,578777236800
"344","023530","롯데쇼핑","KOSPI","유통업",106000,-2000,-1.85,2998608030000
"345","004000","롯데정밀화학","KOSPI","화학",91400,4400,5.06,2.35812e+12
"346","286940","롯데정보통신","KOSPI","서비스업",39700,-300,-0.75,611234340700
"347","280360","롯데제과","KOSPI","음식료품",128000,-500,-0.39,821339776000
"348","004990","롯데지주","KOSPI","기타금융",33400,-400,-1.18,3503968515800
"349","00499K","롯데지주우","KOSPI","기타금융",51500,-700,-1.34,50862584500
"350","005300","롯데칠성","KOSPI","음식료품",142000,-3000,-2.07,1317601528000
"351","005305","롯데칠성우","KOSPI","음식료품",71700,0,0,55589727000
"352","011170","롯데케미칼","KOSPI","화학",227000,-2000,-0.87,7780520113000
"353","002270","롯데푸드","KOSPI","음식료품",387000,4000,1.04,467904285000
"354","071840","롯데하이마트","KOSPI","유통업",27850,-500,-1.76,657474779200
"355","027740","마니커","KOSPI","음식료품",434,0,0,86137105796
